pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag,ra,dec
OGLE-TR-10 b,3.10127800,197.04600,44.49400,-44.49400,14.011,1.569,-1.345,1.14,1.17,5950.00,0,267.867708,-29.876361
HAT-P-27 b,3.03957700,197.05000,9.53000,-9.53000,11.430,0.780,-0.670,0.94,0.90,5300.00,0,222.767436,5.947368
HD 11964 b,1945.00000000,,,,,,,1.12,,5349.00,0,29.290026,-10.242428
HAT-P-28 b,3.25721500,198.95300,11.75900,-11.75900,13.585,1.267,-0.919,1.02,1.10,5680.00,0,13.000766,34.728413
KOI-142 c,22.33950000,198.80000,9.20000,-10.60000,,,,0.96,0.88,5471.00,0,291.148088,40.669407
WASP-55 b,4.46562910,199.27941,12.07754,-12.39537,14.964,0.359,-0.247,1.16,1.10,6070.00,0,203.758114,-17.503464
HD 34445 b,1056.70000000,,,,,,,1.07,1.38,5836.00,0,79.420746,7.353343
Kepler-74 b,7.34071100,200.22000,38.14000,-38.14000,10.760,0.220,-0.220,1.18,1.12,6000.00,0,293.092525,41.355523
WASP-90 b,3.91624300,200.23290,22.24810,-22.24810,18.271,1.009,-1.009,1.55,1.98,6430.00,0,315.531971,7.056235
WASP-54 b,3.69364110,202.13100,7.94500,-7.62800,18.528,1.009,-0.930,1.21,1.83,6100.00,0,205.454308,-0.128076
HD 63765 b,358.00000000,,,,,,,0.86,,5432.00,0,116.957161,-54.264145
OGLE-2013-BLG-1721L b,,203.41120,111.24050,-98.52730,,,,0.46,,,0,268.126556,-30.292694
HD 181433 c,962.00000000,,,,,,,0.78,,4962.00,0,291.289856,-66.468796
WASP-57 b,2.83891856,204.68252,19.70546,-19.70546,11.769,0.594,-0.594,0.89,0.93,5600.00,0,223.820104,-2.057665
HD 216770 b,118.45000000,,,,,,,0.90,,,0,343.973785,-26.658764
HATS-26 b,3.30238810,206.58950,24.15508,-24.15508,19.616,2.354,-2.354,1.30,2.04,6071.00,0,144.926863,-28.585590
HD 37124 c,885.50000000,,,,,,,0.85,,,0,84.260361,20.730787
HATS-29 b,4.60587490,207.54299,20.02329,-20.02329,14.022,0.684,-0.684,1.03,1.07,5670.00,0,285.096424,-54.893192
HD 45364 c,342.85000000,,,,,,,0.82,,5434.00,0,96.410316,-31.480953
Kepler-15 b,4.94278200,209.76000,25.43000,-28.60000,10.760,0.670,-0.780,1.02,0.99,5515.00,0,296.200595,49.140125
HD 141399 e,5000.00000000,,,,,,,1.07,,5600.00,0,236.724228,46.986263
HAT-P-43 b,3.33268700,210.39500,19.06900,-19.06900,14.359,0.695,-0.370,1.05,1.10,5645.00,0,128.925737,10.206653
HD 27894 b,18.02000000,,,,,,,0.80,,,0,65.196030,-59.410835
Kepler-6 b,3.23469960,212.31044,12.07754,-11.12405,14.617,0.202,-0.370,1.21,1.39,5647.00,0,296.837254,48.239964
HD 170469 b,1145.00000000,,,,,,,1.14,1.22,5810.00,0,277.295746,11.695502
HAT-P-4 b,3.05653600,213.25500,10.48800,-13.98400,14.280,0.549,-0.673,1.26,1.60,5860.00,0,229.991354,36.229664
HATS-28 b,3.18107810,213.58176,27.65121,-27.65121,13.384,0.785,-0.785,0.93,0.92,5498.00,0,284.399685,-49.138470
HD 37124 b,154.37800000,,,,,,,0.85,,,0,84.260361,20.730787
KELT-10 b,4.16627390,215.80657,12.39537,-12.07754,15.681,0.773,-0.549,1.11,1.21,5948.00,0,284.548373,-47.003242
HD 8535 b,1313.00000000,,,,,,,1.13,1.19,6136.00,0,20.905149,-41.269802
HD 96167 b,498.90000000,,,,,,,1.31,1.86,5770.00,0,166.312790,-10.291301
GJ 832 b,3657.00000000,,,,,,,0.45,,3472.00,0,323.391571,-49.009006
HAT-P-24 b,3.35524000,217.70400,10.48800,-10.48800,13.922,0.751,-0.751,1.19,1.32,6373.00,0,108.825058,14.262599
ups And b,4.61703300,,,,,,,1.30,1.56,,0,24.199345,41.405460
WASP-84 b,8.52348650,220.56500,8.89900,-8.89900,10.559,0.247,-0.247,0.84,0.75,5314.00,0,131.107099,1.860033
HD 37124 d,1862.00000000,,,,,,,0.85,,,0,84.260361,20.730787
HD 9446 b,30.05200000,,,,,,,1.00,1.00,5793.00,0,23.334101,29.265148
V830 Tau b,4.92700000,222.48100,38.13960,-38.13960,,,,1.00,2.00,4250.00,0,68.291803,24.562050
HD 32963 b,2372.00000000,,,,,,,0.94,,5727.00,0,76.982353,26.327963
HATS-30 b,3.17435160,224.38798,12.39537,-12.39537,13.171,0.583,-0.583,1.09,1.06,5943.00,0,5.618693,-59.942551
HD 224693 b,26.73000000,,,,,,,1.33,1.70,6037.00,0,359.974304,-22.428114
HAT-P-30 b,2.81059500,225.96800,8.89900,-8.89900,15.020,0.729,-0.729,1.24,1.22,6304.00,0,123.949894,5.836719
GJ 876 c,30.08810000,226.98460,1.23950,-1.23950,,,,0.32,0.30,,0,343.319733,-14.263700
CoRoT-4 b,9.20205000,228.83000,25.43000,-25.43000,13.340,0.670,-0.560,1.16,1.17,6190.00,0,102.194663,-0.672774
Kepler-49 c,10.91293430,228.83000,,,2.550,,,0.55,0.56,4252.00,1,292.294579,40.591801
OGLE-2015-BLG-0051L b,,228.83760,206.58950,-22.24810,,,,0.10,,,0,269.662537,-28.031694
WASP-35 b,3.16157500,228.82800,19.06900,-19.06900,14.796,0.560,-0.560,1.07,1.09,5990.00,0,76.081782,-6.229821
WASP-81 b,2.71647620,231.69807,11.44188,-11.12405,16.018,0.572,-0.516,1.08,1.28,5870.00,0,304.207886,3.294050
HD 159868 c,352.30000000,,,,,,,1.09,,5558.00,0,264.748016,-43.145515
HD 207832 c,1155.70000000,,,,,,,0.94,0.90,5710.00,0,328.151184,-26.026560
OGLE-2006-BLG-109L b,1788.50000000,231.00000,19.00000,-19.00000,,,,0.51,,,0,268.143792,-30.087778
K2-29 b,3.25883210,232.01590,12.71320,-12.71320,13.339,0.224,-0.224,0.94,0.86,5358.00,0,62.670647,24.402042
HD 192263 b,24.35870000,,,,,,,0.81,0.73,4996.00,0,303.499359,-0.866877
HD 156411 b,842.20000000,,,,,,,1.25,2.16,5900.00,0,259.964172,-48.549320
HD 187085 b,986.00000000,,,,,,,1.22,,6075.00,0,297.391541,-37.780552
TrES-1 b,3.03006500,238.99800,14.93700,-14.62000,11.960,0.247,-0.235,0.88,0.81,5230.00,0,286.041062,36.632629
HAT-P-54 b,3.79984700,241.55080,10.17056,-10.17056,10.581,0.314,-0.314,0.65,0.62,4390.00,0,99.898003,25.482540
HAT-P-33 b,3.47447400,242.17600,32.09900,-32.09900,18.898,0.504,-0.504,1.38,1.64,6446.00,0,113.184212,33.835052
HATS-51 b,3.34887020,244.09344,14.30235,-14.30235,15.805,2.130,-2.130,1.19,1.44,5758.00,0,102.847504,-29.058611
HD 109246 b,68.27000000,,,,,,,1.01,1.02,5844.00,0,188.029953,74.489548
HD 163607 b,75.29000000,,,,,,,1.09,1.63,5543.00,0,268.418732,56.391956
HAT-P-29 b,5.72318600,247.26100,24.15400,-12.71300,12.408,1.524,-0.919,1.21,1.22,6087.00,0,33.131142,51.778759
HAT-P-9 b,3.92289000,247.90000,28.60000,-28.60000,15.690,0.670,-0.670,1.28,1.32,6350.00,0,110.168529,37.140652
HAT-P-66 b,2.97208600,248.86089,18.11631,-18.11631,17.822,1.793,-1.121,1.25,1.88,6002.00,0,150.572632,53.950863
HIP 65407 c,67.30000000,,,,,,,0.93,,5460.00,0,201.087662,48.885094
HD 197037 b,1035.70000000,,,,,,,1.11,,6150.00,0,309.887329,42.248550
PSR J2322-2650 b,0.32296400,,,,,,,1.40,,,0,350.644348,-26.849533
HAT-P-41 b,2.69404700,254.25300,32.41700,-32.41700,18.887,0.852,-0.572,1.42,1.68,6390.00,0,297.322651,4.672421
Kepler-23 b,7.10730000,254.30000,,,1.900,,,1.11,1.55,5828.00,1,294.218924,49.479225
HD 4208 b,828.00000000,,,,,,,0.87,,5600.00,0,11.111043,-26.515680
WASP-92 b,2.17467420,255.85315,21.61244,-21.61244,16.376,0.863,-0.863,1.19,1.34,6280.00,0,246.692108,51.041115
Kepler-91 b,6.24658000,257.44230,57.20940,-54.03110,15.323,0.773,-0.673,1.31,6.30,4550.00,0,285.672872,44.116734
Lupus-TR-3 b,3.91405000,257.43100,57.20700,-57.20700,9.976,0.785,-0.785,0.87,0.82,5000.00,0,232.577571,-42.979908
NGTS-1 b,2.64729800,258.07796,20.97678,-23.83725,14.908,6.837,-3.699,0.62,0.57,3916.00,0,82.714378,-36.630787
HATS-9 b,1.91531100,259.34928,12.07754,-12.07754,13.141,0.110,-0.110,1.03,1.50,5366.00,0,290.810104,-20.166317
HAT-P-52 b,2.75359530,259.98494,9.21707,-9.21707,11.310,0.807,-0.807,0.89,0.89,5131.00,0,42.721679,29.022396
HD 155358 c,391.90000000,,,,,,,0.92,,5900.00,0,257.394226,33.355854
GJ 179 b,2288.00000000,,,,,,,0.36,0.38,3370.00,0,73.023865,6.476539
HD 134987 c,5000.00000000,,,,,,,1.10,1.25,5585.00,0,228.369446,-25.309347
HATS-11 b,3.61916340,263.79890,31.78300,-31.78300,16.668,0.347,-0.347,1.00,1.44,6060.00,0,289.400757,-22.389927
MOA-2007-BLG-400L b,,263.79000,155.73000,-98.52000,,,,0.30,,,0,272.424917,-29.224153
55 Cnc b,14.65152000,263.97850,1.04880,-1.04880,,,,0.91,0.94,5196.00,0,133.149216,28.330818
HD 38529 b,14.30980000,,,,,,,1.48,,5697.00,0,86.645470,1.168193
CoRoT-9 b,95.27265600,266.97720,15.89150,-15.89150,11.949,0.841,-0.706,0.96,0.96,5625.00,0,280.786712,6.204172
K2-107 b,3.31392000,266.97720,25.42640,-25.42640,16.141,1.681,-1.681,1.30,1.78,6030.00,0,284.985382,-22.293402
K2-115 b,20.27303400,266.97720,57.20940,-63.56600,12.498,0.639,-0.684,0.83,0.88,5560.00,0,126.553444,12.281936
WASP-142 b,2.05286800,266.97720,28.60470,-28.60470,17.150,0.897,-0.897,1.33,1.64,6010.00,0,140.506393,-23.946169
Kepler-435 b,8.60015360,266.97000,47.67000,-47.67000,22.310,2.020,-2.020,1.54,3.21,6161.00,0,292.287328,43.197281
Kepler-68 d,625.00000000,267.00000,16.00000,-16.00000,,,,1.08,1.24,5793.00,0,291.032305,49.040272
HD 148156 b,1027.00000000,,,,,,,1.22,1.21,6308.00,0,247.072006,-46.317623
HD 155358 b,194.30000000,,,,,,,0.92,,5900.00,0,257.394226,33.355854
CoRoT-29 b,2.85057000,270.15550,63.56600,-63.56600,10.088,1.793,-1.793,0.97,0.90,5260.00,0,278.902103,6.479651
HAT-P-13 b,2.91625000,270.46200,12.07700,-12.07700,14.258,0.729,-0.729,1.22,1.56,5653.00,1,129.882536,47.352051
WASP-1 b,2.51994540,271.41500,18.11600,-16.52600,16.623,0.269,-0.381,1.24,1.47,,0,5.166978,31.989990
WASP-16 b,3.11860090,272.00000,14.00000,-24.00000,11.300,0.930,-0.670,1.02,0.95,5700.00,0,214.683032,-20.275484
OGLE-2012-BLG-0026L c,,273.33380,19.06980,-19.06980,,,,1.06,,,0,263.577917,-27.142750
24 Sex c,883.00000000,,,,,,,1.54,4.90,5098.00,0,155.868210,-0.902244
WASP-59 b,7.91958500,274.27600,14.30200,-14.30200,8.687,0.762,-0.762,0.72,0.61,4650.00,0,349.623126,24.889290
HD 13908 b,19.38200000,,,,,,,1.29,1.67,6255.00,0,34.560665,65.594360
KELT-8 b,3.24406000,275.55861,20.65895,-19.38763,20.849,2.018,-1.793,1.21,1.67,5754.00,0,283.305510,24.127380
HD 17674 b,623.80000000,,,,,,,0.98,1.18,5904.00,0,42.767853,30.286739
OGLE-2011-BLG-0265L b,,279.68000,85.81000,-57.21000,,,,0.21,,,0,269.448833,-27.394528
HATS-31 b,3.37796000,279.69040,38.13960,-38.13960,18.383,2.466,-2.466,1.27,1.87,6050.00,0,191.702789,-24.427364
WASP-23 b,2.94442560,280.95000,27.96800,-31.46400,10.783,0.527,-0.628,0.78,0.77,5150.00,0,101.127587,-42.761826
WASP-44 b,2.42380390,282.53900,19.70500,-19.70500,12.778,1.233,-1.233,0.95,0.93,5410.00,0,3.903165,-11.938115
HD 128356 b,298.20000000,,,,,,,0.65,0.85,4875.00,0,219.270355,-25.802563
WASP-58 b,5.01718000,282.86000,22.25000,-22.25000,15.360,2.240,-2.240,0.94,1.17,5800.00,0,274.701064,45.172016
WASP-78 b,2.17517632,282.85700,25.42500,-25.42500,19.055,1.233,-1.233,1.17,1.60,6100.00,0,63.756240,-22.116434
HAT-P-45 b,3.12899200,283.49200,43.54100,-31.46400,15.984,1.962,-0.975,1.26,1.32,6330.00,0,274.373238,-3.381036
HD 200964 c,825.00000000,,,,,,,1.44,4.30,5164.00,0,316.666016,3.803119
WASP-123 b,2.97764120,285.72917,11.44188,-11.44188,14.773,0.729,-0.729,1.17,1.28,5740.00,0,289.478676,-32.861130
WASP-79 b,3.66238660,286.03000,25.43000,-25.43000,23.430,1.570,-1.570,1.38,1.53,6600.00,0,66.370903,-30.600445
HD 96063 b,361.10000000,,,,,,,1.02,4.50,5148.00,0,166.185226,-2.513218
KELT-4 A b,2.98959320,286.68266,19.06980,-18.75197,19.044,0.516,-0.504,1.20,1.60,6206.00,0,157.062546,25.573189
WASP-48 b,2.14363544,288.00000,27.00000,-27.00000,15.650,0.570,-0.570,1.06,1.52,6000.00,0,291.162330,55.473160
WASP-28 b,3.40883000,288.26000,13.66600,-13.66600,13.597,0.471,-0.471,1.02,1.09,6150.00,0,353.616152,-1.580064
KELT-15 b,3.32944100,289.22530,66.74430,-69.92260,16.175,1.233,-0.639,1.18,1.48,6003.00,0,117.415037,-52.120453
BD+48 738 b,392.60000000,,,,,,,0.74,11.00,4414.00,0,40.710224,49.586960
GJ 849 b,1845.00000000,,,,,,,0.49,,,0,332.418121,-4.640729
WASP-2 b,2.15222600,290.80200,28.60300,-29.55700,12.005,0.897,-0.930,0.89,0.84,5200.00,0,307.725542,6.429536
HD 179949 b,3.09251400,,,,,,,1.21,,6168.00,0,288.888458,-24.179352
HD 285507 b,6.08810000,,,,,,,0.73,0.66,4503.00,0,61.755104,15.335032
CoRoT-12 b,2.82804200,291.43800,22.24700,-20.65800,16.140,1.460,-1.460,1.08,1.12,5675.00,0,100.765677,-1.296439
XO-1 b,3.94150685,292.39100,25.42500,-25.42500,13.563,0.336,-0.336,1.03,0.94,5750.00,0,240.549350,28.169586
HD 86226 b,1695.00000000,,,,,,,1.06,1.02,5903.00,0,149.124359,-24.099390
WASP-76 b,1.80988600,292.40360,9.53490,-9.53490,20.512,0.673,-0.448,1.46,1.73,6250.00,0,26.632746,2.700539
HATS-32 b,2.81265480,292.40360,31.78300,-31.78300,14.000,1.614,-1.076,1.10,1.10,5700.00,0,346.075073,-21.271938
Kepler-54 b,8.01094340,292.39000,,,2.100,,,0.51,0.55,4252.00,1,294.773939,43.056295
WASP-98 b,2.96264036,293.03926,25.42640,-25.42640,12.823,0.381,-0.381,0.81,0.74,5473.00,0,58.428794,-34.328194
HD 113538 c,1818.00000000,,,,,,,0.58,0.53,4462.00,0,196.239487,-52.442924
HD 185269 b,6.83800000,,,,,,,1.28,1.88,5980.00,0,294.298920,28.499865
HD 10647 b,989.20000000,,,,,,,1.11,1.10,6218.00,0,25.622149,-53.740833
WASP-41 b,3.05240400,298.76020,15.89150,-15.89150,13.227,0.336,-0.336,0.93,0.87,5545.00,0,190.618736,-30.639870
Kepler-412 b,1.72086040,299.07803,39.72875,-6.03877,15.031,0.493,-0.516,1.17,1.29,5750.00,1,286.110327,43.680958
HATS-34 b,2.10616070,299.07803,22.88376,-22.88376,16.029,2.130,-2.130,0.95,0.98,5380.00,0,0.774485,-62.469341
HD 154345 b,3342.00000000,,,,,,,0.88,,,0,255.651688,47.081882
WASP-74 b,2.13775000,301.93850,19.06980,-19.06980,17.486,0.673,-0.673,1.48,1.64,5970.00,0,304.538823,-1.075676
KELT-12 b,5.03162300,301.93850,44.49620,-44.49620,19.952,1.906,-1.793,1.59,2.37,6279.00,0,267.640503,36.570232
HD 114729 b,1114.00000000,,,,,,,1.00,,5821.00,0,198.184402,-31.873348
WASP-68 b,5.08429800,301.93000,9.53000,-9.53000,13.900,1.120,-0.670,1.24,1.69,5911.00,0,305.095785,-19.314680
HD 25171 b,1845.00000000,,,,,,,1.09,1.18,6160.00,0,58.956001,-65.186676
HD 102956 b,6.49500000,,,,,,,1.68,4.40,5054.00,0,177.843796,57.640736
WASP-7 b,4.95465800,305.10400,41.31600,-41.31600,14.908,1.042,-1.042,1.28,1.43,6400.00,0,311.042609,-39.225273
HD 148427 b,331.50000000,,,,,,,1.45,3.22,5052.00,0,247.117294,-13.399640
HD 1605 b,577.90000000,,,,,,,1.31,3.80,4757.00,0,5.131330,30.974804
K2-99 b,18.24900000,308.29510,28.60470,-28.60470,14.460,0.560,-0.560,1.60,3.10,5990.00,0,208.773743,-5.442466
Kepler-539 b,125.63243000,308.29510,92.17070,-92.17070,8.373,0.191,-0.191,1.05,0.95,5820.00,0,299.122454,41.866760
Kepler-49 b,7.20379450,311.46000,,,2.720,,,0.55,0.56,4252.00,1,292.294579,40.591801
HD 108874 c,1624.00000000,,,,,,,0.95,,5551.00,0,187.612015,22.879829
WASP-129 b,5.74814500,317.83000,31.78300,-31.78300,10.424,0.336,-0.336,1.00,0.90,5900.00,0,176.298965,-42.063927
HD 219415 b,2093.30000000,,,,,,,1.00,2.90,4820.00,0,348.724278,56.730328
Kepler-44 b,3.24672930,317.82000,31.78000,-31.78000,12.220,0.780,-0.780,1.12,1.35,5800.00,0,300.102352,45.762142
WASP-45 b,3.12609600,318.46566,19.70546,-19.70546,11.119,0.426,-0.426,0.90,0.92,5100.00,0,5.237497,-35.998260
OGLE-TR-182 b,3.97910000,320.99500,47.67200,-47.67200,12.666,2.690,-0.897,1.14,1.14,5924.00,0,167.327963,-61.095257
K2-140 b,6.56930000,323.86877,22.24810,-22.24810,12.274,0.202,-0.202,1.00,0.99,5654.00,0,188.137344,-9.607640
HD 88133 b,3.41486740,324.18660,193.87630,-88.99240,,,,1.18,1.94,5438.00,0,152.531982,18.186871
Kepler-87 b,114.73635000,324.20000,8.80000,-8.80000,13.490,0.550,-0.550,1.10,1.82,5600.00,1,297.916877,46.965130
WASP-26 b,2.75660040,326.71500,6.67400,-6.67400,14.359,0.841,-0.841,1.11,1.30,5939.00,0,4.602897,-15.267305
OGLE-TR-211 b,3.67724000,327.35100,63.56300,-63.56300,15.244,2.018,-1.009,1.33,1.64,6325.00,0,160.059951,-62.455601
Kepler-424 b,3.31186440,327.35000,41.32000,-41.32000,9.980,0.900,-0.670,1.01,0.94,5460.00,0,298.624890,48.577454
CoRoT-1 b,1.50895570,327.35000,38.14000,-38.14000,16.700,0.900,-0.900,0.95,1.11,5950.00,0,102.079885,-3.102147
HAT-P-42 b,4.64187800,331.80100,26.37900,-26.37900,14.348,1.715,-1.715,1.18,1.53,5743.00,0,135.344391,6.097230
rho CrB b,39.84580000,,,,,,,0.89,1.36,5627.00,0,240.261093,33.303509
HD 52265 b,119.60000000,,,,,,,1.18,1.10,6060.00,0,105.075150,-5.367162
HAT-P-35 b,3.64670600,334.97900,10.48800,-10.48800,14.930,1.098,-1.098,1.24,1.44,6096.00,0,123.250764,4.787023
HAT-P-6 b,3.85298500,335.93200,37.82000,-37.82000,14.908,0.684,-0.684,1.29,1.46,6570.00,0,354.774222,42.465973
HAT-P-5 b,2.78849100,336.89000,34.96000,-34.96000,14.120,0.560,-0.560,1.16,1.17,5960.00,0,274.405476,36.621410
HD 220689 b,2209.00000000,,,,,,,1.04,1.07,5921.00,0,351.470795,-20.616030
HD 60532 b,201.90000000,,,,,,,1.50,2.57,6245.00,0,113.513252,-22.296066
BD+15 2375 b,153.22000000,,,,,,,1.08,8.95,4649.00,0,176.482174,14.616381
HIP 91258 b,5.05050000,,,,,,,0.95,1.00,5519.00,0,279.221466,61.702503
WASP-19 b,0.78883899,339.76027,12.07754,-11.75971,15.603,0.448,-0.448,0.90,1.00,5568.00,0,148.417002,-45.659191
WASP-75 b,2.48419300,340.06000,15.89000,-15.89000,14.235,0.538,-0.538,1.14,1.26,6100.00,0,342.385707,-10.675560
WASP-24 b,2.34121242,340.38200,11.44100,-12.07700,14.571,0.437,-0.426,1.18,1.33,6075.00,0,227.215586,2.343304
HATS-3 b,3.54785100,340.38200,43.22300,-43.22300,15.480,0.392,-0.392,1.21,1.40,6351.00,0,312.457440,-24.428793
HATS-14 b,2.76676410,340.39593,22.24810,-22.24810,11.646,0.359,-0.247,0.97,0.93,5346.00,0,313.215479,-25.687334
HD 160691 b,643.25000000,,,,,,,1.08,,5807.00,0,266.036255,-51.834053
HD 231701 b,141.60000000,,,,,,,1.14,1.35,6208.00,0,293.017334,16.474291
Kepler-97 c,789.00000000,344.00000,,,,,,0.94,0.98,5779.00,0,287.326624,48.673431
Kepler-418 b,86.67856000,349.60000,,,13.450,1.790,-1.790,0.98,1.09,5820.00,0,294.433512,38.355450
K2-97 b,8.40610000,349.61300,34.96130,-34.96130,14.684,1.233,-1.233,1.16,4.20,4790.00,0,127.762833,10.847586
HD 114783 b,493.70000000,,,,,,,0.85,,5135.00,0,198.182434,-2.265040
HD 73534 b,1770.00000000,,,,,,,1.23,2.39,5041.00,0,129.815842,12.960376
HD 9174 b,1179.00000000,,,,,,,1.03,1.67,5577.00,0,22.504177,-19.604502
BD+15 2940 b,137.48000000,,,,,,,1.10,14.70,4796.00,0,240.095566,15.546930
CoRoT-19 b,3.89713000,352.78000,19.07000,-19.07000,14.460,0.340,-0.340,1.21,1.65,6090.00,0,97.033582,-0.170681
Kepler-55 c,42.15164180,352.78000,,,2.210,,,0.62,0.62,4503.00,1,285.168338,44.026466
HD 7449 b,1275.00000000,,,,,,,1.05,1.01,6024.00,0,18.622173,-5.047387
WTS-2 b,1.01870680,355.96960,50.85280,-50.85280,15.278,0.684,-0.684,0.82,0.75,5000.00,0,293.732796,36.815491
WASP-95 b,2.18467300,359.13000,31.78000,-12.71000,13.560,0.670,-0.670,1.11,1.13,5630.00,0,337.457189,-48.003086
HD 159243 b,12.62000000,,,,,,,1.12,1.12,6123.00,0,263.339783,5.700733
HD 130322 b,10.70871000,,,,,,,0.92,0.85,5387.00,0,221.886368,-0.281476
HD 5319 c,886.00000000,,,,,,,1.51,3.85,4958.00,0,13.755836,0.789553
HD 75784 b,341.70000000,,,,,,,1.41,3.30,4917.00,0,133.099747,13.233433
WASP-133 b,2.17642300,368.68280,28.60470,-28.60470,13.563,0.560,-0.560,1.16,1.44,5700.00,0,314.575373,-35.796555
HD 100777 b,383.70000000,,,,,,,1.01,,5582.00,0,173.964676,-4.755697
HD 28254 b,1116.00000000,,,,,,,1.06,1.48,5664.00,0,66.211273,-50.622192
HAT-P-37 b,2.79743600,371.52800,32.73500,-32.73500,13.204,0.863,-0.863,0.93,0.88,5500.00,0,284.296064,51.269138
KELT-18 b,2.87175180,375.03940,34.96130,-34.96130,17.598,0.471,-0.404,1.52,1.91,6670.00,0,216.524017,59.444275
HD 141399 d,1069.80000000,,,,,,,1.07,,5600.00,0,236.724228,46.986263
OGLE-TR-132 b,1.68986800,375.02000,44.49000,-41.32000,13.450,1.680,-1.230,1.30,1.32,6210.00,0,162.644667,-61.957194
WASP-121 b,1.27492550,375.99289,20.34112,-19.70546,20.905,0.493,-0.493,1.35,1.46,6459.00,0,107.600275,-39.097393
XO-5 b,4.18775580,378.20000,9.53000,-9.53000,12.780,0.340,-0.340,1.04,1.13,5430.00,0,116.716527,39.094578
HATS-33 b,2.54955510,378.85336,16.84499,-16.84499,13.787,1.255,-0.908,1.06,1.02,5659.00,0,294.633636,-55.330105
TrES-2 b,2.47061317,380.44251,21.61244,-21.61244,13.978,0.560,-0.504,0.98,1.00,5850.00,0,286.808473,49.316402
HD 95089 b,507.00000000,,,,,,,1.58,4.90,5002.00,0,164.698898,1.729216
PSR J1719-1438 b,0.09070629,382.80000,,,,,,1.40,0.04,4500.00,0,259.791971,-14.633600
HD 143105 b,2.19740000,,,,,,,1.51,,6380.00,0,238.402328,68.720116
WASP-47 b,4.16071000,383.00000,190.00000,-120.00000,12.900,2.800,-2.800,1.11,1.16,5576.00,1,331.203047,-12.018885
HD 147513 b,528.40000000,,,,,,,1.11,,5883.00,0,246.005371,-39.192982
WASP-4 b,1.33823251,386.48128,4.13179,-4.13179,14.908,1.793,-1.793,0.89,0.92,5436.00,0,353.562841,-42.061428
WASP-138 b,3.63443300,387.75260,25.42640,-25.42640,12.218,0.560,-0.560,1.22,1.36,6272.00,0,41.639084,-0.463922
HD 121504 b,63.33000000,,,,,,,1.18,,6075.00,0,209.321823,-56.040043
HATS-35 b,1.82099930,388.38826,24.79074,-24.79074,16.410,0.773,-0.493,1.32,1.43,6300.00,0,296.688263,-63.565609
WASP-130 b,11.55098000,390.93090,12.71320,-12.71320,9.976,0.336,-0.336,1.04,0.96,5625.00,0,203.105988,-42.475273
WASP-119 b,2.49979000,390.93090,25.42640,-25.42640,15.693,2.242,-2.242,1.02,1.20,5650.00,0,55.933441,-65.193855
WASP-82 b,2.70578200,394.10920,12.71320,-12.71320,18.719,0.785,-0.560,1.63,2.18,6490.00,0,72.660671,1.893921
HD 114386 b,937.70000000,,,,,,,0.68,,4804.00,0,197.665924,-35.054783
HD 142 b,349.70000000,,,,,,,1.23,1.47,6245.00,0,1.579898,-49.075191
OGLE-TR-113 b,1.43247520,400.44900,50.85100,-50.85100,12.251,0.314,-0.213,0.78,0.77,4790.00,0,163.101667,-61.446806
HD 216435 b,1311.00000000,,,,,,,1.30,,5999.00,0,343.408051,-48.598286
HD 65216 b,572.40000000,,,,,,,0.92,,5666.00,0,118.422173,-63.647324
WASP-85 A b,2.65567770,402.05495,20.65895,-20.65895,13.899,0.336,-0.336,1.09,0.94,6112.00,0,175.908386,6.563726
Kepler-428 b,3.52563254,403.63000,60.39000,-60.39000,12.110,0.340,-0.340,0.87,0.80,5150.00,0,290.581722,40.577400
WASP-64 b,1.57329180,403.94500,21.61200,-21.61200,14.247,0.437,-0.437,1.00,1.06,5400.00,0,101.115041,-32.858402
WASP-104 b,1.75541370,404.26300,14.93700,-14.93700,12.745,0.415,-0.415,1.08,0.96,5475.00,0,160.602432,7.435026
KELT-7 b,2.73477490,406.82240,57.20940,-57.20940,17.183,0.516,-0.527,1.53,1.73,6789.00,0,78.295532,33.318165
HIP 14810 c,147.73000000,,,,,,,0.99,1.00,5485.00,0,47.809292,21.097359
KELT-14 b,1.71005660,408.09372,10.17056,-10.17056,19.537,0.527,-0.527,1.24,1.52,5720.00,0,108.301485,-42.409744
K2-113 b,5.81760800,410.00070,41.31790,-44.49620,10.424,1.121,-0.785,1.01,1.05,5627.00,0,19.449286,6.868895
HD 210277 b,442.19000000,,,,,,,1.01,,5555.00,0,332.374451,-7.548654
HD 108874 b,395.80000000,,,,,,,0.95,,5551.00,0,187.612015,22.879829
Qatar-1 b,1.42002420,411.27202,16.52716,-15.57367,12.812,0.291,-0.280,0.84,0.80,5013.00,0,303.381672,65.162041
HD 82886 b,705.00000000,,,,,,,1.06,4.80,5112.00,0,143.938263,34.780743
HD 33142 b,326.60000000,,,,,,,1.48,4.20,5052.00,0,76.898087,-13.986480
CoRoT-13 b,4.03519000,415.70400,20.97600,-20.97600,9.920,0.157,-0.157,1.09,1.01,5945.00,0,102.721137,-5.086445
KELT-17 b,3.08017160,416.35730,88.99240,-92.17070,17.094,0.729,-0.673,1.64,1.65,7454.00,0,125.617523,13.735319
