pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag,ra,dec
GJ 1132 b,1.62892870,1.63000,0.54000,-0.54000,1.430,0.160,-0.160,0.18,0.26,,0,153.715737,-47.156727
GJ 581 e,3.14900000,,,,,,,0.31,0.29,,0,229.861771,-7.722280
HD 215152 c,7.28243000,,,,,,,0.77,0.73,4935.00,0,340.838745,-6.400821
tau Cet g,20.00000000,,,,,,,0.78,,,0,26.017012,-15.937480
GJ 3138 b,1.22003000,,,,,,,0.68,0.50,3717.00,0,32.295425,-16.339592
HD 215152 b,5.75999000,,,,,,,0.77,0.73,4935.00,0,340.838745,-6.400821
tau Cet h,49.41000000,,,,,,,0.78,,,0,26.017012,-15.937480
Kepler-11 b,10.30390000,1.90000,1.40000,-1.00000,1.800,0.030,-0.050,0.96,1.06,5663.00,1,297.115123,41.909138
Kepler-177 b,36.85500000,2.00000,0.50000,-0.30000,2.900,1.520,-0.300,1.07,1.07,5942.00,1,286.047132,45.053207
Kepler-78 b,0.35500000,1.86000,0.38000,-0.25000,1.173,0.159,-0.089,0.76,0.74,5058.00,0,293.741690,44.448330
Kepler-11 f,46.68880000,2.00000,0.80000,-0.90000,2.490,0.040,-0.070,0.96,1.06,5663.00,1,297.115123,41.909138
Wolf 1061 b,4.88690000,,,,,,,0.29,0.31,3342.00,0,247.575241,-12.662594
Kepler-138 c,13.78130000,1.97000,1.91200,-1.12000,1.197,0.070,-0.070,0.52,0.44,3841.00,1,290.381547,43.292973
GJ 3323 b,5.36360000,,,,,,,0.16,0.12,3159.00,0,75.489280,-6.946263
Kepler-51 b,45.15400000,2.10000,1.50000,-0.80000,7.100,0.300,-0.300,1.04,0.94,6018.00,1,296.479776,49.937683
GJ 3323 c,40.54000000,,,,,,,0.16,0.12,3159.00,0,75.489280,-6.946263
OGLE-2013-BLG-0341L B b,,2.32000,0.27000,-0.27000,,,,0.15,,,0,268.031208,-29.846111
HD 20794 c,40.11400000,,,,,,,0.70,,5401.00,0,49.981876,-43.069782
GJ 3998 b,2.64977000,,,,,,,0.50,0.49,3722.00,0,259.002655,11.057666
GJ 667 C e,62.24000000,,,,,,,0.33,,3350.00,0,259.745085,-34.996827
GJ 667 C f,39.02600000,,,,,,,0.33,,3350.00,0,259.745085,-34.996827
HD 20794 b,18.31500000,,,,,,,0.70,,5401.00,0,49.981876,-43.069782
HD 215152 d,10.86499000,,,,,,,0.77,0.73,4935.00,0,340.838745,-6.400821
GJ 625 b,14.62800000,,,,,,,0.30,0.31,3499.00,0,246.352600,54.304104
Kepler-406 c,4.62332000,2.71000,1.80000,-1.80000,0.850,0.030,-0.030,1.07,1.07,5538.00,0,291.848044,44.968224
Kepler-114 c,8.04100000,2.80000,0.60000,-0.60000,1.600,0.180,-0.180,0.56,0.67,4605.00,1,294.121421,48.349525
Kepler-11 c,13.02410000,2.90000,2.90000,-1.60000,2.870,0.050,-0.060,0.96,1.06,5663.00,1,297.115123,41.909138
HD 215152 e,25.19670000,,,,,,,0.77,0.73,4935.00,0,340.838745,-6.400821
GJ 273 b,18.64980000,,,,,,,0.29,0.29,3382.00,0,111.852081,5.225785
Kepler-101 c,6.02976000,3.78000,,,1.250,0.190,-0.170,1.17,1.56,5667.00,0,283.255489,48.355228
MOA-2007-BLG-192L b,,3.30000,4.90000,-1.60000,,,,0.06,,,0,272.015825,-27.150075
MOA-2013-BLG-605L b,,3.20000,0.50000,-0.30000,,,,0.03,,,0,269.678542,-29.398239
GJ 3293 e,13.25430000,,,,,,,0.42,0.40,3466.00,0,67.148820,-25.169301
Wolf 1061 c,17.87190000,,,,,,,0.29,0.31,3342.00,0,247.575241,-12.662594
Kepler-97 b,2.58664000,3.51000,1.90000,-1.90000,1.480,0.130,-0.130,0.94,0.98,5779.00,0,287.326624,48.673431
