pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag,ra,dec
Kepler-78 b,0.35500000,1.86000,0.38000,-0.25000,1.173,0.159,-0.089,0.76,0.74,5058.00,0,293.741690,44.448330
55 Cnc e,0.73653900,8.08000,0.31000,-0.31000,1.910,0.080,-0.080,0.91,0.94,5196.00,0,133.149216,28.330818
WASP-19 b,0.78883899,339.76027,12.07754,-11.75971,15.603,0.448,-0.448,0.90,1.00,5568.00,0,148.417002,-45.659191
WASP-47 e,0.78963600,6.83,0.66,-0.66,1.820,0.026,-0.027,1.11,1.16,5576.00,0,331.203047,-12.018885
WASP-43 b,0.81347500,565.71400,31.78200,-31.78200,10.424,0.785,-1.009,0.58,0.60,4400.00,1,154.908372,-9.806276
Kepler-10 b,0.83749100,4.60853,1.27132,-1.46202,1.481,0.049,-0.029,0.91,1.06,5627.00,0,285.679394,50.241299
HATS-18 b,0.83784340,629.30340,24.47291,-24.47291,14.986,1.143,-0.549,1.04,1.02,5600.00,0,173.957397,-29.156012
CoRoT-7 b,0.85359159,5.74000,0.86000,-0.86000,1.585,0.064,-0.064,0.91,0.82,5259.00,0,100.956125,-1.063033
WASP-103 b,0.92554200,473.54700,27.96800,-27.96800,17.127,0.818,-0.527,1.22,1.44,6110.00,0,249.314868,7.183352
WASP-18 b,0.94145299,3314.83000,120.77000,-120.77000,13.059,0.639,-0.639,1.28,1.23,6400.00,0,24.354311,-45.677887
KELT-16 b,0.96899510,874.03250,50.85280,-47.67450,15.861,0.942,-0.751,1.21,1.36,6236.00,0,314.268494,31.661034
K2-131 b,0.36930380,6.50000,1.60000,-1.60000,1.810,0.160,-0.120,0.84,0.81,5200.00,0,182.751556,-9.765218
HD 3167 b C17,0.959641,5.02,0.38,-0.38,1.700,0.180,-0.150,0.860,0.860,5261,0,8.739684,4.381469
HD 3167 b G17,0.959632,5.69,0.44,-0.44,1.574,0.054,-0.054,0.877,0.835,5286,0,8.739684,4.381469
K2-106 b S17,0.571336,9.00,1.60,-1.60,1.82,0.20,-0.14,0.920,0.950,5496,0,13.079780,10.794699
K2-106 b G17,0.571292,8.36,0.96,-0.94,1.52,0.16,-0.16,0.945,0.869,5470,0,13.079780,10.794699
K2-141 b,0.2803244,5.1,0.4,-0.4,1.51,0.05,-0.05,0.708,0.681,4600,0,0.0000,0.00000
