<<<<<<< HEAD
K2-131 b,Confirmed,0.020,0.005,0.005,,,,0.161,0.011,0.014,0.3693038,1.5e-06,1.5e-06,,,,0.0,,,86.3,3.6,2.7,,2017,2018-02-22,90.0,,,,,,,,,2457744.0716,0.00022,0.00022,,,,,,,0.0,,,,,,6.25,0.48,0.48,2039.0,48.0,87.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 246393474 b,,K2-141 ,350.91666668,-1.189166675,11.5,,,,,61.0,2.0,2.0,-0.06,0.1,0.08,0.840,0.01,0.01,0.750,0.01,0.01,,6.3,4.7,6.6,5245.0,52.0,46.0,,,"EPIC XXX copied from K2-141, some values may be worng"
=======
K2-131 b,Confirmed,0.020,0.005,0.005,,,,0.161,0.011,0.014,0.3693038,1.5e-06,1.5e-06,,,,0.0,,,86.3,3.6,2.7,,2017,2018-02-22,90.0,,,,,,,,,2457744.0716,0.00022,0.00022,,,,,,,0.0,,,,,,6.25,0.48,0.48,2039.0,48.0,87.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 246393474 b,,K2-131 ,350.91666668,-1.189166675,11.5,,,,,61.0,2.0,2.0,-0.06,0.1,0.08,0.840,0.01,0.01,0.750,0.01,0.01,,6.3,4.7,6.6,5245.0,52.0,46.0,,,"EPIC XXX copied from K2-141, some values may be worng"
CoRoT-7 b,Confirmed,0.0149,0.003,0.003,,,,0.141,0.006,0.006,0.853585,2.4e-05,2.4e-05,0.0172,0.00029,0.00029,0.12,0.07,0.07,80.1,0.3,0.3,0.000115,2009,2017-06-11,,,,,,,,,,2454398.0767,0.0015,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150.0,20.0,20.0,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,K0V,1.5,0.3,0.3,5313.0,73.0,73.0,,,"Added back manually because catalogue default is missing error on radius"
K2-229 b,Confirmed,0.00815,0.00135,0.00135,,,,0.1038,0.0043,0.0059,0.58426,1.5e-06,1.5e-06,,,,0.0,,,86.3,3.6,2.7,,2017,2018-02-22,90.0,,,,,,,,,2457744.0716,0.00022,0.00022,,,,,,,0.0,,,,,,6.25,0.48,0.48,2039.0,48.0,87.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 246393474 b,,K2-229 ,350.91666668,-1.189166675,11.5,,,,,61.0,2.0,2.0,-0.06,0.1,0.08,0.87,0.01,0.01,0.79,0.01,0.01,,6.3,4.7,6.6,5315.0,31.0,35.0,,,"EPIC XXX copied from K2-141, some values may be worng"
>>>>>>> 294d8892ec0b362ed7bcc8280d22867ee64e1211
