descriptor name p m,+,- r,+,- d,+,- ins ttv
"TRAPPIST-1 c"        2.421823        1.380000        0.610000        0.610000        1.056000        0.035000        0.035000        1.171891        0.530954        0.530954        2.397330   1.0 
"Kepler-11 f"       46.688801        2.000000        0.800000        0.900000        2.490000        0.040000        0.070000        0.129548        0.052959        0.058630       16.557736   1.0 
"Kepler-51 b"       45.153999        2.100000        1.500000        0.800000        7.100000        0.300000        0.300000        0.005867        0.004256        0.002356       16.460692   1.0 
"Kepler-114 d"       11.776000        3.900000        1.700000        1.700000        2.530000        0.280000        0.280000        0.240826        0.131959        0.131959       25.998394   1.0 
"Kepler-48 b"        4.778000        3.940000        2.100000        2.100000        1.880000        0.100000        0.100000        0.592956        0.329903        0.329903      182.868360   1.0 
"Kepler-350 c"       17.849001        6.100000        3.300000        3.200000        3.100000        1.420000        0.600000        0.204760        0.162499        0.301185      172.268087   1.0 
"Kepler-18 b"        3.504725        6.900000        3.400000        3.400000        2.000000        0.100000        0.100000        0.862500        0.444255        0.444255      451.909263   1.0 
"Kepler-177 c"       49.411999        7.500000        3.500000        3.100000        7.100000        3.710000        0.720000        0.020955        0.011673        0.033972       17.638702   1.0 
"Kepler-25 b"        6.238500        9.600000        4.200000        4.200000        2.710000        0.050000        0.050000        0.482351        0.212711        0.212711      482.105279   1.0 
"WASP-47 d"        9.095000       16.799999       12.000000        7.000000        3.710000        0.820000        0.820000        0.328994        0.320641        0.257641      149.826576   1.0 
"Kepler-328 b"       34.921001       28.500000       12.900000       12.300000        2.300000        0.960000        0.230000        2.342402        1.271981        3.102422       25.717201   1.0 
"Kepler-122 f"       56.268002       36.000000       19.400000       16.200001        1.750000        0.600000        0.160000        6.717201        4.061735        7.541414       21.825784   1.0 
"Kepler-282 d"       24.806000       61.000000       35.900002       36.099998        2.460000        1.000000        0.200000        4.097552        2.610400        5.554324       26.379593   1.0 
"Kepler-277 b"       17.323999       87.300003       41.700001       39.900002        2.920000        0.730000        0.630000        3.506434        2.820682        3.079659      173.113522   1.0 
"Kepler-238 e"       23.653999      169.699997       71.699997       69.099998        5.600000        2.370000        0.460000        0.966313        0.472647        1.288424       74.285313   1.0 
"WASP-47 b"        4.160710      383.000000      190.000000      120.000000       12.900000        2.800000        2.800000        0.178414        0.146051        0.128926      425.045968   1.0 
