descriptor name p m,+,- r,+,- d,+,- ins ttv
"Kepler-138 b"       10.312600        0.066000        0.059000        0.037000        0.522000        0.032000        0.032000        0.464015        0.423489        0.273770        0.074560        6.805451   1.0
"Kepler-453 b"      240.503006        0.200000       16.000000       16.000000        6.204000        0.039000        0.039000        0.000838        0.067005        0.067005        0.741398        1.050031   0.0
"TRAPPIST-1 d"        4.049610        0.410000        0.270000        0.270000        0.772000        0.030000        0.030000        0.891111        0.595954        0.595954        0.021424        1.207907   1.0
"TRAPPIST-1 e"        6.099615        0.620000        0.580000        0.580000        0.918000        0.039000        0.039000        0.801426        0.756647        0.756647        0.028151        0.699597   1.0
"Kepler-138 d"       23.088100        0.640000        0.674000        0.387000        1.212000        0.075000        0.075000        0.359478        0.384412        0.227385        0.127601        2.323612   1.0
"TRAPPIST-1 f"        9.206690        0.680000        0.180000        0.180000        1.045000        0.038000        0.038000        0.595882        0.170603        0.170603        0.037042        0.404061   1.0
"TRAPPIST-1 b"        1.510871        0.850000        0.720000        0.720000        1.086000        0.035000        0.035000        0.663635        0.565788        0.565788        0.011103        4.497260   1.0
"TRAPPIST-1 g"       12.352940        1.340000        0.880000        0.880000        1.127000        0.041000        0.041000        0.936123        0.623199        0.623199        0.045061        0.273039   1.0
"TRAPPIST-1 c"        2.421823        1.380000        0.610000        0.610000        1.056000        0.035000        0.035000        1.171891        0.530954        0.530954        0.015207        2.397330   1.0
"GJ 1132 b"        1.628930        1.620000        0.550000        0.550000        1.160000        0.110000        0.110000        1.037866        0.459711        0.459711        0.015298       19.345445   0.0
"Kepler-11 b"       10.303900        1.900000        1.400000        1.000000        1.800000        0.030000        0.050000        0.325789        0.241585        0.172240        0.091415      124.150674   1.0
"Kepler-11 f"       46.688801        2.000000        0.800000        0.900000        2.490000        0.040000        0.070000        0.129548        0.052959        0.058630        0.250319       16.557736   1.0
"Kepler-177 b"       36.855000        2.000000        0.500000        0.300000        2.900000        1.520000        0.300000        0.082004        0.032680        0.129530        0.221677       26.076420   1.0
"Kepler-78 b"        0.355000        1.860000        0.380000        0.250000        1.173000        0.159000        0.089000        1.152442        0.352486        0.493576        0.008954     4013.586985   0.0
"Kepler-138 c"       13.781300        1.970000        1.912000        1.120000        1.197000        0.070000        0.070000        1.148639        1.132888        0.683419        0.090460        4.623394   1.0
"Kepler-51 b"       45.153999        2.100000        1.500000        0.800000        7.100000        0.300000        0.300000        0.005867        0.004256        0.002356        0.251422       16.460692   1.0
"Kepler-11 c"       13.024100        2.900000        2.900000        1.600000        2.870000        0.050000        0.060000        0.122674        0.122915        0.067985        0.106869       90.842192   1.0
"Kepler-406 c"        4.623320        2.710000        1.800000        1.800000        0.850000        0.030000        0.030000        4.412782        2.968007        2.968007        0.055551      313.318288   0.0
"Kepler-114 c"        8.041000        2.800000        0.600000        0.600000        1.600000        0.180000        0.180000        0.683594        0.273288        0.273288        0.064744       43.237789   1.0
"Kepler-98 b"        1.541680        3.550000        1.600000        1.600000        1.990000        0.220000        0.220000        0.450473        0.252077        0.252077        0.026030     1536.820439   0.0
"Kepler-97 b"        2.586640        3.510000        1.900000        1.900000        1.480000        0.130000        0.130000        1.082734        0.651853        0.651853        0.036124      736.993854   0.0
"Kepler-414 b"        4.700000        3.500000        3.400000        2.900000        1.710000        0.310000        0.140000        0.699970        0.701369        0.693753        0.052819        0.000000   1.0
"Kepler-307 c"       13.072900        3.640000        0.650000        0.580000        2.200000        0.070000        0.070000        0.341848        0.069218        0.063496        0.105242       44.127269   1.0
"Kepler-102 d"       10.311700        3.800000        1.800000        1.800000        1.180000        0.040000        0.040000        2.312798        1.120499        1.120499        0.086426       40.318386   0.0
"Kepler-114 d"       11.776000        3.900000        1.700000        1.700000        2.530000        0.280000        0.280000        0.240826        0.131959        0.131959        0.083494       25.998394   1.0
"Kepler-60 c"        8.918700        3.850000        0.810000        0.810000        1.900000        0.150000        0.150000        0.561306        0.177818        0.177818        0.085272      238.340146   1.0
"Kepler-48 b"        4.778000        3.940000        2.100000        2.100000        1.880000        0.100000        0.100000        0.592956        0.329903        0.329903        0.053201      182.868360   1.0
"Kepler-29 c"       13.288400        4.000000        1.230000        1.290000        3.140000        0.200000        0.200000        0.129203        0.046776        0.048433        0.109057       68.969411   1.0
"Kepler-93 b"        4.726740        4.020000        0.680000        0.680000        1.478000        0.019000        0.019000        1.245096        0.216018        0.216018        0.053413      275.101166   0.0
"Kepler-80 e"        4.644890        4.130000        0.810000        0.950000        1.600000        0.080000        0.070000        1.008301        0.237950        0.276890        0.049055       73.292507   1.0
"Kepler-51 c"       85.311996        4.000000        0.400000        0.400000        9.000000        2.800000        1.700000        0.005487        0.003157        0.005150        0.384249        7.047410   1.0
