pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag
2MASS J19383260+4603591 b,416.00000000,603.87700,31.78300,-31.78300,,,,0.48,,,0
HD 222155 b,3999.00000000,,,,,,,1.13,1.67,5765.00,0
HD 190647 b,1038.10000000,,,,,,,1.10,,5628.00,0
HD 159243 c,248.40000000,,,,,,,1.12,1.12,6123.00,0
K2-77 b,8.19979600,603.87700,,,2.300,0.160,-0.160,0.80,0.76,4970.00,0
HD 210702 b,354.80000000,,,,,,,1.68,5.10,4967.00,0
HD 142245 b,1299.00000000,,,,,,,1.69,5.20,4878.00,0
WASP-46 b,1.43036763,607.05530,41.31790,-41.31790,13.159,0.415,-0.415,0.83,0.86,5600.00,0
TrES-3 b,1.30618581,607.03000,23.83600,-25.42500,14.975,0.347,-0.415,0.93,0.83,5650.00,0
WASP-106 b,9.28971500,611.79700,24.15400,-24.15400,12.162,0.516,-0.314,1.19,1.39,6055.00,0
HAT-P-15 b,10.86350200,618.47100,20.97600,-20.97600,12.016,0.482,-0.482,1.01,1.08,5568.00,0
HD 82943 c,220.07800000,622.60300,14.93700,-14.93700,,,,1.20,,6016.00,0
HD 33844 b,551.40000000,,,,,,,1.78,5.29,4861.00,0
HD 70642 b,2068.00000000,,,,,,,1.05,,5706.00,0
HATS-18 b,0.83784340,629.30340,24.47291,-24.47291,14.986,1.143,-0.549,1.04,1.02,5600.00,0
WASP-3 b,1.84683550,629.30340,19.06980,-19.06980,15.693,0.336,-0.336,1.23,1.36,6400.00,0
HIP 107773 b,144.30000000,,,,,,,2.42,11.60,4945.00,0
HD 171028 b,550.00000000,,,,,,,0.99,1.95,5663.00,0
ups And c,241.25800000,,,,,,,1.30,1.56,,0
24 Sex b,452.80000000,,,,,,,1.54,4.90,5098.00,0
HD 187123 c,3810.00000000,,,,,,,1.00,,5830.00,0
HD 20868 b,380.85000000,,,,,,,0.78,0.79,4795.00,0
51 Eri b,,635.66000,,,,,,1.75,,,0
HD 136418 b,464.30000000,,,,,,,1.33,3.40,5071.00,0
Kepler-47 b,49.53200000,636.00000,,,3.030,0.120,-0.120,1.05,0.96,5636.00,1
kap CrB b,1261.94000000,635.66000,,,,,,1.47,5.06,4788.00,0
Kepler-30 c,60.32310500,640.00000,50.00000,-50.00000,12.300,0.400,-0.400,0.99,0.95,5498.00,1
Kepler-76 b,1.54492980,638.83830,117.59710,-111.24050,15.244,1.345,-1.345,1.20,1.32,6409.00,0
WASP-100 b,2.84937500,645.17000,38.14000,-38.14000,18.940,3.250,-3.250,1.57,,6900.00,0
Kepler-59 b,11.86817070,651.52000,,,1.100,,,1.04,0.94,6074.00,1
WASP-61 b,3.85590000,654.70200,54.02900,-54.02900,13.899,0.336,-0.336,1.22,1.36,6320.00,0
Kepler-48 e,982.00000000,657.00000,25.00000,-25.00000,,,,0.88,0.89,5194.00,0
HAT-P-23 b,1.21288287,658.00000,38.00000,-38.00000,13.720,0.410,-0.410,1.10,1.09,5885.00,0
HD 159868 b,1178.40000000,,,,,,,1.09,,5558.00,0
HD 116029 b,670.00000000,,,,,,,1.58,4.60,4951.00,0
HD 10442 b,1043.00000000,,,,,,,1.56,,5034.00,0
HIP 79431 b,111.70000000,,,,,,,,,,0
Kepler-5 b,3.54846570,670.93913,21.29461,-27.33338,15.984,0.404,-0.572,1.37,1.79,6297.00,0
HD 147018 b,44.23600000,,,,,,,0.93,,5441.00,0
HD 118203 b,6.13350000,,,,,,,1.23,,5600.00,0
HR 810 b,312.00000000,,,,,,,,,,0
WASP-53 b,3.30984430,677.61356,29.24036,-29.87602,12.038,0.415,-0.415,0.84,0.80,4953.00,0
HAT-P-22 b,3.21222000,682.35200,19.38700,-19.38700,12.106,0.650,-0.650,0.92,1.04,5302.00,0
HATS-15 b,1.74748753,689.69110,47.67450,-47.67450,12.386,0.448,-0.448,0.87,0.92,5311.00,0
HD 4203 c,6700.00000000,,,,,,,1.13,,5702.00,0
HAT-P-31 b,5.00542500,689.98000,33.37100,-24.47200,11.990,2.690,-1.790,1.22,1.36,6065.00,0
HD 12661 b,262.70900000,,,,,,,1.02,1.11,5748.00,0
NGC 2682 Sand 978 b,511.21000000,,,,,,,1.37,,4200.00,0
HD 152079 b,2899.00000000,,,,,,,1.10,1.15,5726.00,0
HAT-P-56 b,2.79083270,692.86940,79.45750,-79.45750,16.432,0.448,-0.448,1.30,1.43,6566.00,0
Kepler-58 c,15.57415680,696.02000,,,2.860,,,0.95,1.13,6099.00,1
Kepler-40 b,6.87349000,699.20000,127.10000,-127.10000,13.110,0.450,-0.450,1.48,2.13,6510.00,0
HD 131496 b,883.00000000,,,,,,,1.61,4.30,4927.00,0
HD 206610 b,610.00000000,,,,,,,1.56,6.10,4874.00,0
6 Lyn b,874.77400000,,,,,,,1.70,5.20,4978.00,0
HAT-P-14 b,4.62766900,709.36700,18.75100,-18.75100,12.890,0.583,-0.583,1.39,1.47,6600.00,0
HD 154857 b,408.60000000,,,,,,,1.72,1.76,5605.00,0
WASP-71 b,2.90367470,712.54500,25.42500,-25.42500,16.370,1.460,-1.460,1.56,2.26,6059.00,0
WASP-8 b,8.15871500,713.18000,25.10800,-29.55700,11.635,0.078,-0.053,1.03,0.94,5600.00,0
HD 73526 b,188.90000000,,,,,,,1.01,,,0
HD 73526 c,379.10000000,,,,,,,1.01,,,0
GJ 876 b,61.11660000,723.22350,1.43020,-1.43020,,,,0.33,,,0
HD 145934 b,2730.00000000,,,,,,,1.75,5.38,,0
HD 163607 c,1314.00000000,,,,,,,1.09,1.63,5543.00,0
HD 62509 b,589.64000000,,,,,,,2.10,8.31,4946.00,0
HD 212771 b,373.30000000,,,,,,,1.15,5.00,5121.00,0
GJ 328 b,4100.00000000,,,,,,,0.69,,3900.00,0
HD 4313 b,356.00000000,,,,,,,1.72,4.90,5035.00,0
HD 147873 c,491.54000000,,,,,,,1.38,2.29,5972.00,0
NN Ser d,2883.50000000,731.00000,158.90000,-158.90000,,,,0.54,,57000.00,0
POTS-1 b,3.16062960,734.16000,244.72000,-244.72000,10.548,0.404,-0.527,0.69,0.59,4400.00,0
WASP-66 b,4.08605200,737.33500,41.31600,-41.31600,15.581,1.009,-1.009,1.30,1.75,6580.00,0
CoRoT-11 b,2.99433000,740.51000,108.06000,-108.06000,16.030,0.340,-0.340,1.27,1.37,6440.00,0
WASP-36 b,1.53736596,750.39663,22.24810,-22.24810,14.874,0.235,-0.235,1.08,0.98,5959.00,0
HD 4732 c,2732.00000000,,,,,,,1.74,5.40,4959.00,0
HD 4732 b,360.20000000,,,,,,,1.74,5.40,4959.00,0
HATS-12 b,3.14283300,756.43540,34.96130,-34.96130,15.132,1.906,-1.906,1.49,2.21,6408.00,0
Kepler-539 c,1000.00000000,762.79200,381.39600,-381.39600,,,,1.05,0.95,5820.00,0
mu Leo b,357.80000000,,,,,,,1.50,11.40,4538.20,0
HD 192699 b,345.53000000,,,,,,,1.68,3.90,5220.00,0
HD 29021 b,1362.30000000,,,,,,,0.85,0.85,5560.00,0
HIP 74890 b,822.30000000,,,,,,,1.74,5.77,4850.00,0
CoRoT-17 b,3.76810000,772.29000,95.34000,-95.34000,11.430,0.780,-0.780,1.04,1.59,5740.00,0
Kepler-432 c,406.20000000,,,,,,,1.32,4.06,4995.00,0
HD 202206 c,1383.40000000,,,,,,,1.15,,5765.00,0
HATS-24 b,1.34849540,775.50520,57.20940,-57.20940,16.668,0.874,-0.605,1.21,1.17,6346.00,0
WASP-140 b,2.23598350,775.50520,22.24810,-22.24810,16.141,4.708,-2.018,0.90,0.87,5260.00,0
Kepler-17 b,1.48571080,778.65000,34.96000,-34.96000,14.680,0.220,-0.220,1.16,1.05,5781.00,1
HD 23079 b,730.60000000,,,,,,,1.01,,5927.00,0
7 CMa b,796.00000000,,,,,,,1.52,2.30,4792.00,0
HD 43691 b,36.96000000,,,,,,,1.38,,6200.00,0
Qatar-2 b,1.33711647,792.63500,17.16200,-17.16200,14.056,0.146,-0.146,0.74,0.78,4645.00,0
GJ 317 b,692.00000000,794.50000,222.50000,-127.10000,,,,0.42,,3510.00,0
HD 133131 B b,5769.00000000,,,,,,,0.93,,5805.00,0
Kepler-419 b,69.75460000,794.50000,95.30000,-95.30000,10.800,1.400,-1.300,1.39,1.74,6430.00,1
TYC 1422-614-1 b,198.40000000,,,,,,,1.15,6.85,4806.00,0
PSR B1620-26 b,,794.57500,317.83000,-317.83000,,,,1.35,,,0
HD 60532 c,600.10000000,,,,,,,1.50,2.57,6245.00,0
HD 75898 b,418.20000000,,,,,,,1.28,1.60,6021.00,0
47 UMa b,1078.00000000,,,,,,,1.03,1.23,5892.00,0
HD 41004 A b,963.00000000,,,,,,,0.70,,5010.00,0
HD 290327 b,2443.00000000,,,,,,,0.90,1.00,5552.00,0
MOA 2009-BLG-387L b,1982.00000000,813.64480,1318.99450,-502.17140,,,,0.19,,,0
HD 154857 c,3452.00000000,,,,,,,1.72,1.76,5605.00,0
HD 196885 b,1333.00000000,,,,,,,1.28,1.31,6254.00,0
HD 171238 b,1523.00000000,,,,,,,0.94,,5467.00,0
HD 217107 c,4270.00000000,,,,,,,1.02,,5646.00,0
OGLE 2003-BLG-235L b,,826.35800,254.26400,-190.69800,,,,0.63,,,0
HD 155233 b,818.80000000,,,,,,,1.69,5.03,4960.00,0
HD 108863 b,443.40000000,,,,,,,1.85,5.60,4956.00,0
HIP 109600 b,232.08000000,,,,,,,0.87,,5530.00,0
WASP-141 b,3.31065100,854.96270,47.67450,-47.67450,13.563,0.897,-0.897,1.25,1.37,5900.00,0
WASP-38 b,6.87181500,855.24500,18.43300,-18.43300,12.263,0.325,-0.314,1.20,1.33,6150.00,0
HD 173416 b,323.60000000,,,,,,,2.00,13.50,4683.00,0
HD 81688 b,184.02000000,,,,,,,2.10,13.00,4753.00,0
HD 164604 b,606.40000000,,,,,,,0.80,,,0
Kepler-23 c,10.74210000,858.10000,,,3.200,,,1.11,1.55,5828.00,1
HD 18742 b,772.00000000,,,,,,,1.60,4.90,5048.00,0
HD 150706 b,5894.00000000,,,,,,,1.17,0.96,5961.00,0
OGLE 2012-BLG-406L b,,867.64000,136.66000,-136.66000,,,,0.44,,,0
HD 153950 b,499.40000000,,,,,,,1.12,1.34,6076.00,0
HATS-22 b,4.72281240,870.85420,34.96130,-34.96130,10.682,0.538,-0.325,0.76,0.69,4803.00,0
KELT-16 b,0.96899510,874.03250,50.85280,-47.67450,15.861,0.942,-0.751,1.21,1.36,6236.00,0
CoRoT-10 b,13.24060000,874.00000,50.85000,-50.85000,10.870,0.780,-0.780,0.89,0.79,5075.00,0
WASP-99 b,5.75251000,883.53000,41.32000,-41.32000,12.330,0.900,-0.560,1.48,1.76,6180.00,0
NY Vir b,2985.70000000,,,,,,,,,,0
CoRoT-23 b,3.63130000,889.90000,95.30000,-95.30000,11.770,1.460,-1.460,1.14,1.61,5900.00,0
MOA 2016-BLG-227L b,,889.92400,699.22600,-476.74500,,,,0.29,,,0
xi Aql b,136.75000000,,,,,,,2.20,12.00,4780.00,0
HD 37605 b,55.01307000,,,,,,,1.00,0.90,5448.00,0
HD 66428 b,1973.00000000,,,,,,,1.10,,5752.00,0
Kepler-433 b,5.33408384,896.24000,165.26000,-165.26000,16.250,1.790,-1.790,1.46,2.26,6360.00,0
HD 113337 b,324.00000000,,,,,,,1.40,1.50,6576.60,0
Kepler-434 b,12.87470990,908.96000,111.24000,-111.24000,12.670,2.910,-2.020,1.20,1.38,5977.00,0
HD 169830 b,225.62000000,,,,,,,1.40,,6299.00,0
KELT-9 b,1.48112350,915.35040,266.97720,-266.97720,21.196,0.684,-0.594,2.52,2.36,10170.00,0
HD 165155 b,434.50000000,,,,,,,1.02,0.95,5426.00,0
HD 181342 b,562.10000000,,,,,,,1.89,5.12,5040.00,0
HD 196050 b,1378.00000000,,,,,,,1.15,,5892.00,0
HD 12648 b,133.60000000,,,,,,,1.20,9.20,4835.80,0
HD 145457 b,176.30000000,,,,,,,1.90,9.90,4757.00,0
CoRoT-6 b,8.88659300,940.74000,108.06000,-108.06000,13.068,0.392,-0.392,1.05,1.02,6090.00,0
HD 12484 b,58.83000000,,,,,,,1.01,,5920.00,0
75 Cet b,691.90000000,,,,,,,2.49,10.50,4846.00,0
HD 125612 b,559.40000000,,,,,,,1.09,,5900.00,0
Kepler-93 c,1460.00000000,954.00000,,,,,,0.91,0.92,5669.00,0
HD 32518 b,157.54000000,,,,,,,1.13,10.22,4580.00,0
HD 73267 b,1260.00000000,,,,,,,0.89,1.04,5317.00,0
HD 67087 b,352.20000000,,,,,,,1.36,1.55,6330.00,0
HD 68402 b,1103.00000000,,,,,,,1.12,1.02,5950.00,0
HD 221287 b,456.10000000,,,,,,,1.25,,6304.00,0
OGLE 2014-BLG-0676L b,,982.09470,324.18660,-355.96960,,,,0.62,,,0
HD 190984 b,4885.00000000,,,,,,,0.91,1.53,5988.00,0
HD 1502 b,431.80000000,,,,,,,1.61,4.50,5049.00,0
WASP-10 b,3.09276160,1001.12000,41.32000,-34.96000,12.106,0.224,-0.224,0.75,0.70,4675.00,0
HD 72659 b,3658.00000000,,,,,,,1.06,1.36,5926.00,0
HD 220842 b,218.47000000,,,,,,,1.13,,5960.00,0
WASP-41 c,421.00000000,,,,,,,0.93,0.87,5545.00,0
91 Aqr b,181.40000000,,,,,,,1.40,11.00,4665.00,0
V0391 Peg b,1170.00000000,,,,,,,0.50,0.23,29300.00,0
HD 17156 b,21.21663000,1023.37000,25.43000,-25.43000,11.430,0.900,-0.900,1.24,1.44,6100.00,0
Kepler-43 b,3.02409490,1026.59090,82.63580,-82.63580,13.664,0.729,-0.717,1.32,1.42,6041.00,0
HATS-16 b,2.68650200,1039.30410,60.38770,-60.38770,14.572,1.681,-1.681,0.97,1.24,5738.00,0
HAT-P-34 b,5.45265400,1057.69400,67.05900,-67.05900,13.417,1.435,-1.031,1.39,1.53,6442.00,0
HD 37605 c,2720.00000000,,,,,,,1.00,0.90,5448.00,0
GJ 3021 b,133.71000000,,,,,,,0.90,0.90,5540.00,0
HAT-P-17 c,5584.00000000,,,,,,,0.86,0.84,5246.00,0
CoRoT-2 b,1.74299350,1102.82000,69.92000,-69.92000,16.432,0.471,-0.493,0.96,0.91,5625.00,0
CoRoT-18 b,1.90006930,1102.82000,120.77000,-120.77000,14.680,2.020,-2.020,0.95,1.00,5440.00,0
HD 143361 b,1046.20000000,,,,,,,0.95,0.99,5505.00,0
HD 1605 c,2111.00000000,,,,,,,1.31,3.80,4757.00,0
HD 108341 b,1129.00000000,,,,,,,0.84,0.79,5122.00,0
HD 166724 b,5144.00000000,,,,,,,0.81,,5127.00,0
HD 183263 c,3070.00000000,,,,,,,1.17,,5936.00,0
HD 92788 b,325.00000000,,,,,,,1.10,,5821.00,0
WASP-32 b,2.71865900,1144.14000,22.24700,-22.24700,13.227,0.785,-0.785,1.10,1.11,6100.00,0
HD 86950 b,1270.00000000,,,,,,,1.66,8.80,4805.00,0
HD 183263 b,626.50000000,,,,,,,1.17,,5936.00,0
HD 195019 b,18.20132000,,,,,,,1.07,,5788.00,0
MOA-bin-1L b,,1175.90000,667.40000,-667.40000,,,,0.75,,,0
K2-33 b,5.42486500,1175.97100,,,5.040,0.340,-0.370,0.56,1.05,3540.00,0
KELT-6 c,1276.00000000,,,,,,,1.13,1.53,6272.00,0
HD 35759 b,82.46700000,,,,,,,1.15,,6060.00,0
HD 128311 c,921.53800000,1204.25787,293.67492,-137.30256,,,,0.83,0.76,,0
SWEEPS-4 b,4.20000000,1207.70000,,,9.079,1.121,-1.121,1.24,1.18,,0
OGLE 2005-BLG-71L b,,1207.70000,127.10000,-127.10000,,,,0.46,,,0
55 Cnc d,4825.00000000,1232.49300,21.61200,-21.61200,,,,0.91,0.94,5196.00,0
42 Dra b,479.10000000,,,,,,,0.98,22.03,4200.00,0
HIP 14810 b,6.67385500,,,,,,,0.99,1.00,5485.00,0
OGLE 2015-BLG-0954L b,,1239.53700,444.96200,-444.96200,,,,0.33,,,0
GJ 86 b,15.76491000,,,,,,,0.77,,5151.00,0
HD 80606 b,111.43570000,1252.20000,34.96000,-34.96000,10.980,0.340,-0.340,0.97,0.98,5645.00,0
GJ 504 b,,1271.30000,1430.20000,-317.80000,,,,1.22,,6234.00,0
HD 96127 b,647.30000000,,,,,,,0.91,35.00,4152.00,0
2MASS J12073346-3932539 b,,1271.00000,318.00000,-318.00000,,,,0.02,,,0
HAT-P-44 c,872.20000000,,,,,,,0.94,0.95,5295.00,0
WTS-1 b,3.35205700,1274.44000,111.24000,-111.24000,16.700,1.790,-2.020,1.20,1.15,6250.00,0
HD 40979 b,264.15000000,,,,,,,1.15,,6089.00,0
HD 24040 b,3668.00000000,,,,,,,1.18,,5853.00,0
HD 169830 c,2102.00000000,,,,,,,1.40,,6299.00,0
HAT-P-21 b,4.12448100,1291.28900,51.16800,-51.16800,11.478,1.031,-1.031,0.95,1.10,5588.00,0
MOA 2008-BLG-379L b,,1303.00000,540.30000,-603.90000,,,,0.56,,,0
omi UMa b,1630.00000000,,,,,,,3.09,14.10,5242.00,0
WASP-33 b,1.21986690,1303.00000,,,16.780,0.504,-0.504,1.50,1.44,7430.00,0
Kepler-32 b,5.90124000,1303.00000,,,2.200,0.200,-0.200,0.58,0.53,3900.00,1
ups And d,1276.46000000,,,,,,,1.30,1.56,,0
HAT-P-16 b,2.77596000,1332.60500,29.87500,-29.87500,14.448,0.740,-0.740,1.22,1.24,6158.00,0
BD+20 274 b,578.20000000,,,,,,,0.80,17.30,4296.00,0
RR Cae b,4343.50000000,,,,,,,0.44,,,0
HD 11506 b,1627.50000000,,,,,,,1.24,1.33,6055.00,0
CoRoT-20 b,9.24285000,1347.54000,73.10000,-73.10000,9.420,0.450,-0.450,1.14,1.02,5880.00,0
HD 204313 b,2024.10000000,,,,,,,1.02,,5776.00,0
Qatar-3 b,2.50792040,1369.84730,149.38010,-149.38010,12.285,1.569,-1.569,1.15,1.27,6007.00,0
Qatar-5 b,2.87923190,1373.02560,57.20940,-57.20940,12.408,0.717,-0.717,1.13,1.08,5747.00,0
tau Boo b,3.31245680,,,,,,,1.34,1.46,6400.00,0
XO-6 b,3.76500070,1398.45200,,,23.203,2.466,-2.466,1.47,1.93,6720.00,0
Kepler-454 c,523.90000000,,,,,,,1.03,1.07,5701.00,0
OGLE2-TR-L9 b,2.48553350,1430.17500,476.72500,-476.72500,18.046,0.448,-0.448,1.52,1.53,6933.00,0
HD 213240 b,951.00000000,,,,,,,,,,0
HD 120084 b,2082.00000000,,,,,,,2.39,9.12,4892.00,0
HD 111998 b,825.90000000,,,,,,,1.18,1.45,6557.00,0
OGLE 2008-BLG-355L b,,1462.00000,1175.90000,-699.20000,,,,0.37,,,0
HD 95872 b,4375.00000000,,,,,,,0.95,,5312.00,0
HD 17092 b,359.90000000,,,,,,,2.30,,4650.00,0
14 Her b,1773.40000000,,,,,,,0.90,,5311.00,0
Kepler-31 c,42.63180000,1493.70000,,,5.300,1.100,-1.100,1.21,1.22,6340.00,1
HD 154672 b,163.96700000,,,,,,,1.08,1.44,5655.00,0
HD 16175 b,995.40000000,,,,,,,1.34,,6022.00,0
14 And b,185.84000000,,,,,,,2.20,11.00,4813.00,0
MOA 2011-BLG-293L b,,1525.50000,95.30000,-95.30000,,,,0.86,,,0
WASP-120 b,3.61127060,1541.47550,66.74430,-66.74430,16.511,1.076,-1.076,1.39,1.87,6450.00,0
HD 67087 c,2374.00000000,,,,,,,1.36,1.55,6330.00,0
HD 50554 b,1293.00000000,,,,,,,1.04,1.02,5987.00,0
HD 95086 b,,1589.00000,636.00000,-636.00000,,,,1.60,,,0
HD 95127 b,482.00000000,,,,,,,1.20,20.00,4218.00,0
BD-17 63 b,655.60000000,,,,,,,0.74,0.69,4714.00,0
HD 142022 A b,1928.00000000,,,,,,,0.99,,5499.00,0
HD 13908 c,931.00000000,,,,,,,1.29,1.67,6255.00,0
HD 147873 b,116.59600000,,,,,,,1.38,2.29,5972.00,0
HD 240210 b,501.75000000,,,,,,,0.82,,4297.00,0
HD 240237 b,745.70000000,,,,,,,1.69,32.00,4361.00,0
HD 142 c,6005.00000000,,,,,,,1.23,1.47,6245.00,0
81 Cet b,952.70000000,,,,,,,2.40,11.00,4785.00,0
TYC 3667-1280-1 b,26.46800000,,,,,,,1.87,6.26,5130.00,0
Kepler-432 b,52.50112900,1719.46030,101.70560,-57.20940,12.834,0.404,-0.437,1.32,4.06,4995.00,0
HD 27894 d,5174.00000000,,,,,,,0.80,,,0
HD 72892 b,39.47500000,,,,,,,1.02,1.22,5688.00,0
HIP 8541 b,1560.20000000,,,,,,,1.17,7.83,4670.00,0
HD 28185 b,385.90000000,,,,,,,0.98,,5546.00,0
HD 132406 b,974.00000000,,,,,,,,,,0
Kepler-56 d,1002.00000000,,,,,,,1.32,4.23,4840.00,0
HD 145377 b,103.95000000,,,,,,,1.12,1.14,6046.00,0
HD 5583 b,139.35000000,,,,,,,1.01,9.09,4830.00,0
HD 102272 b,127.58000000,,,,,,,1.90,10.10,4908.00,0
WASP-89 b,3.35642270,1875.19700,127.13200,-127.13200,11.657,0.448,-0.448,0.92,0.88,5130.00,0
HD 102329 b,778.10000000,,,,,,,1.95,6.30,4830.00,0
HD 224538 b,1189.10000000,,,,,,,1.34,1.54,6097.00,0
HIP 67851 c,2131.80000000,,,,,,,1.63,5.92,4890.00,0
HIP 65891 b,1084.50000000,,,,,,,2.50,8.93,5000.00,0
HD 66141 b,480.50000000,,,,,,,1.10,21.40,4323.00,0
Kepler-46 b,33.60134000,1907.00000,,,9.057,0.471,-0.482,0.90,0.79,5309.00,1
DP Leo b,10220.00000000,,,,,,,0.69,,,0
bet UMi b,522.30000000,,,,,,,1.40,38.30,4126.00,0
Qatar-4 b,1.80535640,1938.76300,171.62820,-171.62820,12.722,1.233,-1.233,0.90,0.85,5215.00,0
HD 1690 b,533.00000000,,,,,,,1.09,16.70,4393.00,0
HD 70573 b,851.80000000,,,,,,,1.00,,5737.00,0
HD 2039 b,1120.00000000,,,,,,,1.17,,5941.00,0
HD 10697 b,1075.20000000,,,,,,,1.11,,5680.00,0
Ross 458 c,,1997.59000,,,13.675,,,,,,0
UZ For b,5840.00000000,2002.20000,476.70000,-476.70000,,,,0.70,,,0
BD+20 1790 b,7.78287000,,,,,,,0.63,0.71,4410.00,0
BD+03 2562 b,481.90000000,,,,,,,1.14,32.35,4095.00,0
HD 1666 b,270.00000000,,,,,,,1.50,1.93,6317.00,0
alf Tau b,628.96000000,,,,,,,1.13,45.10,4055.00,0
HD 11755 b,433.70000000,,,,,,,0.90,27.30,4312.50,0
HD 11977 b,711.00000000,,,,,,,1.91,10.09,4970.00,0
HD 147018 c,1008.00000000,,,,,,,0.93,,5441.00,0
HD 233604 b,192.00000000,,,,,,,1.50,10.90,4791.00,0
eps CrB b,417.90000000,,,,,,,1.70,21.00,4406.00,0
GJ 676 A b,1051.10000000,2129.46100,572.09400,-476.74500,,,,0.71,,,0
HD 98649 b,4951.00000000,,,,,,,1.00,1.00,5759.00,0
Kepler-31 d,87.64510000,2161.24400,,,3.900,0.800,-0.800,1.21,1.22,6340.00,0
GJ 676 A c,7337.00000000,,,,,,,0.71,,,0
HD 111232 b,1143.00000000,,,,,,,0.78,,5494.00,0
HD 81040 b,1001.70000000,,,,,,,0.96,0.86,5700.00,0
HD 196067 b,3638.00000000,,,,,,,1.29,1.73,6017.00,0
HD 59686 A b,299.36000000,,,,,,,1.90,13.20,4658.00,0
HD 106252 b,1531.00000000,,,,,,,1.01,,5870.00,0
Kepler-57 c,11.60925670,2208.83000,,,1.550,,,0.83,0.73,5145.00,1
Kepler-424 c,223.30000000,,,,,,,1.01,0.94,5460.00,0
HD 86264 b,1475.00000000,,,,,,,,,,0
HR 8799 b,170000.00000000,2000.00000,1000.00000,-600.00000,13.000,1.000,-1.000,1.51,,,0
HD 178911 B b,71.48400000,,,,,,,1.01,,5668.00,0
4 UMa b,269.30000000,,,,,,,1.23,18.11,4415.00,0
HD 125612 d,3008.00000000,,,,,,,1.09,,5900.00,0
HAT-P-20 b,2.87531700,2302.89900,59.43200,-59.43200,9.718,0.370,-0.370,0.76,0.69,4595.00,0
Kepler-419 c,675.47000000,2320.10000,127.10000,-127.10000,,,,1.39,1.74,6430.00,0
HD 47536 b,712.13000000,,,,,,,0.91,22.39,4424.00,0
NN Ser c,5573.55000000,2329.60000,98.52000,-98.52000,,,,0.54,,57000.00,0
WASP-14 b,2.24375200,2333.00000,161.00000,-158.00000,14.360,0.840,-0.920,1.21,1.31,6475.00,0
70 Vir b,116.69260000,,,,,,,1.09,1.94,5439.00,0
2MASS J04414489+2301513 b,,2383.60000,794.50000,-794.50000,,,,0.02,,,0
WD 0806-661 b,,2383.60000,476.70000,-476.70000,,,,0.62,,,0
HD 30177 c,11613.00000000,,,,,,,0.99,,5580.00,0
HD 5891 b,177.11000000,,,,,,,1.91,8.70,4907.00,0
eps Tau b,594.90000000,,,,,,,2.70,13.70,4901.00,0
CoRoT-14 b,1.51214000,2415.40000,190.70000,-190.70000,12.220,0.780,-0.780,1.13,1.21,6035.00,0
HD 168443 b,58.11247000,,,,,,,0.99,1.51,5491.00,0
UZ For c,1916.25000000,2447.20000,381.40000,-381.40000,,,,0.70,,,0
HD 23596 b,1561.00000000,,,,,,,1.16,,5904.00,0
HD 222582 b,572.38000000,,,,,,,0.99,,5727.00,0
Pr0211 c,4850.00000000,,,,,,,0.94,0.83,5300.00,0
bet Cnc b,605.20000000,,,,,,,1.70,47.20,4092.10,0
HD 14067 b,1455.00000000,,,,,,,2.40,12.40,4815.00,0
HD 175167 b,1290.00000000,,,,,,,1.10,,,0
1RXS J160929.1-210524 b,,3000.00000,300.00000,-300.00000,,,,0.85,,4060.00,0
HD 74156 c,2473.00000000,,,,,,,1.24,,6068.00,0
HD 30177 b,2524.40000000,,,,,,,0.99,,5580.00,0
HIP 105854 b,184.20000000,,,,,,,2.10,,4780.00,0
HD 104985 b,199.50500000,,,,,,,,,,0
Kepler-14 b,6.79012300,2669.66000,111.24000,-108.06000,12.733,0.818,-0.605,1.51,2.05,6395.00,0
HD 89744 b,256.78000000,,,,,,,1.56,,6291.00,0
HD 191806 b,1606.30000000,,,,,,,1.14,,6010.00,0
Kepler-52 b,7.87735650,2765.00000,,,2.100,,,0.54,0.56,4263.00,1
gam 1 Leo b,428.50000000,,,,,,,1.23,31.88,4330.00,0
HIP 75458 b,511.09800000,,,,,,,1.05,,4530.00,0
ROXs 42 B b,,2860.00000,953.00000,-953.00000,,,,1.00,,,0
HIP 70849 b,17337.50000000,,,,,,,,,,0
HAT-P-2 b,5.63347290,2888.95000,76.28000,-76.28000,12.969,0.818,-0.695,1.36,1.64,6290.00,0
HD 33564 b,388.00000000,,,,,,,1.25,,6250.00,0
Kepler-27 b,15.33480000,2895.31000,,,4.000,,,0.65,0.59,5400.00,1
HIP 63242 b,124.60000000,,,,,,,1.54,,4830.00,0
KOI-13 b,1.76358800,2949.46240,50.85280,-50.85280,16.948,0.392,-0.392,1.72,1.74,7650.00,1
HD 141937 b,653.22000000,,,,,,,1.03,0.99,5879.00,0
HD 24064 b,535.60000000,,,,,,,1.00,38.00,4052.50,0
WASP-8 c,4323.00000000,,,,,,,1.03,0.94,5600.00,0
HD 106515 A b,3630.00000000,,,,,,,0.97,1.62,5362.00,0
SWEEPS-11 b,1.79600000,3082.82000,1779.77000,-1430.17000,12.666,2.354,-2.354,1.10,1.45,,0
HD 156279 b,131.05000000,,,,,,,0.93,,5453.00,0
HD 139357 b,1125.70000000,,,,,,,1.35,11.47,4700.00,0
