pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag
Kepler-36 c,16.23855000,8.08000,0.60000,-0.46000,3.679,0.054,-0.054,1.07,1.63,5911.00,1
Kepler-11 e,31.99960000,8.00000,1.50000,-2.10000,4.190,0.070,-0.090,0.96,1.06,5663.00,1
Kepler-223 d,14.78869000,8.00000,1.50000,-1.30000,5.240,0.260,-0.450,1.12,1.72,,1
55 Cnc e,0.73653900,8.08000,0.31000,-0.31000,1.910,0.080,-0.080,0.91,0.94,5196.00,0
HD 285968 b,8.78360000,,,,,,,0.45,0.45,3679.00,0
Kepler-131 c,25.51690000,8.25000,5.90000,-5.90000,0.840,0.070,-0.070,1.02,1.03,5685.00,0
GJ 3634 b,2.64561000,8.40000,4.00000,-1.50000,,,,0.45,0.43,,0
Kepler-19 b,9.28716000,8.40000,1.60000,-1.50000,,,,0.94,0.86,5544.00,1
CoRoT-7 c,3.69800000,8.40000,0.90000,-0.90000,,,,0.91,0.82,5259.00,0
Kepler-338 e,9.34100000,8.50000,7.20000,-6.30000,1.560,0.070,-0.070,1.10,1.74,5923.00,1
BD-06 1339 b,3.87280000,,,,,,,0.70,,4324.00,0
KOI-142 b,10.95416000,8.70000,2.50000,-2.50000,3.780,0.390,-0.360,0.96,0.88,5471.00,1
Kepler-96 b,16.23850000,8.46000,3.40000,-3.40000,2.670,0.220,-0.220,1.00,1.02,5690.00,0
K2-111 b,5.35117000,8.60000,3.90000,-3.90000,1.900,0.200,-0.200,0.88,1.23,5730.00,0
HD 7924 b,5.39792000,,,,,,,0.83,0.78,5075.00,0
Kepler-102 e,16.14570000,8.93000,2.00000,-2.00000,2.220,0.070,-0.070,0.81,0.76,4909.00,0
HD 175607 b,29.01000000,,,,,,,0.71,0.70,5392.00,0
WASP-47 e,0.78963600,9.10000,5.50000,-3.60000,1.820,0.400,-0.400,1.11,1.16,5576.00,0
MOA 2010-BLG-328L b,,9.20000,2.20000,-2.20000,,,,0.11,,,0
HD 40307 d,20.43200000,,,,,,,0.77,,4956.00,0
Kepler-62 b,5.71493200,9.00000,,,1.310,0.040,-0.040,0.69,0.64,4925.00,0
Kepler-25 b,6.23850000,9.60000,4.20000,-4.20000,2.710,0.050,-0.050,1.19,1.31,6270.00,1
Kepler-20 b,3.69611525,9.70000,1.41000,-1.44000,1.868,0.066,-0.034,0.95,0.96,5495.00,0
HD 3167 c,29.84540000,9.80000,1.30000,-1.24000,3.010,0.420,-0.280,0.86,0.86,5261.00,0
Kepler-103 b,15.96540000,9.70000,8.60000,-8.60000,3.370,0.090,-0.090,1.09,1.44,5845.00,1
K2-38 c,10.56103000,9.90000,4.60000,-4.60000,2.420,0.290,-0.290,1.07,1.10,5757.00,0
Kepler-37 b,13.36750000,10.00000,,,0.320,0.020,-0.020,0.80,0.77,5417.00,0
Kepler-20 d,77.61130017,10.07000,3.97000,-3.70000,2.744,0.073,-0.055,0.95,0.96,5495.00,0
HD 69830 b,8.66700000,,,,,,,0.86,,5385.00,0
K2-32 d,31.71540000,10.30000,4.70000,-4.70000,3.430,0.350,-0.350,0.86,0.84,5275.00,0
Kepler-305 b,5.48700000,10.50000,2.60000,-2.00000,3.600,0.900,-0.360,0.76,0.79,5100.00,1
Kepler-106 c,13.57080000,10.44000,3.20000,-3.20000,2.500,0.320,-0.320,1.00,1.04,5858.00,0
MOA 2009-BLG-266L b,2774.00000000,10.40000,1.70000,-1.70000,,,,0.56,,,0
KOI-94 b,3.74320800,10.50000,4.60000,-4.60000,1.710,0.160,-0.160,1.28,1.52,6182.00,0
GJ 3138 d,257.80000000,,,,,,,0.68,0.50,3717.00,0
