0.046633 0.579966 
0.052323 0.599944 
0.058708 0.620652 
0.065871 0.642112 
0.073908 0.664347 
0.082927 0.687378 
0.093045 0.711228 
0.104398 0.735916 
0.117137 0.761459 
0.131430 0.787875 
0.147467 0.815179 
0.165460 0.843389 
0.185650 0.872517 
0.208302 0.902579 
0.233719 0.933588 
0.262237 0.965557 
0.294235 0.998499 
0.330137 1.032426 
0.370420 1.067352 
0.415618 1.103290 
0.466331 1.140253 
0.523232 1.178250 
0.587076 1.217292 
0.658710 1.257398 
0.739084 1.298594 
0.829266 1.340919 
0.930452 1.384418 
1.043984 1.429137 
1.171370 1.475113 
1.314299 1.522390 
1.474667 1.571012 
1.654604 1.621026 
1.856496 1.672472 
2.083023 1.725400 
2.337190 1.779872 
2.622370 1.835938 
2.942348 1.893560 
3.301369 1.952680 
3.704197 2.013271 
4.156177 2.075316 
4.663307 2.138796 
5.232317 2.203687 
5.870756 2.269934 
6.587097 2.337474 
7.390844 2.406268 
8.292663 2.476301 
9.304521 2.547620 
10.439844 2.620213 
11.713698 2.693934 
13.142986 2.768613 
14.746672 2.844077 
16.546038 2.920201 
18.564961 2.996870 
20.830228 3.073937 
23.371901 3.151259 
26.223704 3.228705 
29.423480 3.306166 
33.013687 3.383588 
37.041966 3.460960 
41.561770 3.538152 
46.633072 3.615093 
52.323168 3.691739 
58.707560 3.767650 
65.870966 3.842454 
73.908439 3.915980 
82.926632 3.988096 
93.045212 4.058256 
104.398445 4.126010 
117.136982 4.191076 
131.429855 4.253172 
147.466723 4.312052 
165.460385 4.367471 
185.649605 4.419202 
208.302283 4.467039 
233.719005 4.510808 
262.237037 4.550381 
294.234795 4.585691 
330.136870 4.616745 
370.419661 4.643626 
415.617695 4.666493 
466.330724 4.685570 
