descriptor name p m,+,- r,+,- d,+,- ins ttv
"Kepler-307 c"       13.072900        3.640000        0.650000        0.580000        2.200000        0.070000        0.070000        0.341848        0.069218        0.063496       44.127269   1.0 
"Kepler-93 b"        4.726740        4.020000        0.680000        0.680000        1.478000        0.019000        0.019000        1.245096        0.216018        0.216018      275.101166   0.0 
"HD 219134 c"        6.764580        4.360000        0.220000        0.220000        1.511000        0.047000        0.047000        1.263843        0.134074        0.134074       62.550952   0.0 
"Kepler-36 b"       13.839890        4.450000        0.330000        0.270000        1.486000        0.035000        0.035000        1.356137        0.138910        0.126304      218.736066   1.0 
"HD 219134 b"        3.092926        4.740000        0.190000        0.190000        1.602000        0.055000        0.055000        1.152898        0.127420        0.127420      177.580650   0.0 
"Kepler-26 b"       12.280000        5.120000        0.650000        0.610000        2.780000        0.110000        0.110000        0.238306        0.041419        0.040079        7.616650   1.0 
"CoRoT-7 b"        0.853592        5.740000        0.860000        0.860000        1.585000        0.064000        0.064000        1.441531        0.277739        0.277739     1585.672396   0.0 
"Kepler-26 c"       17.255899        6.200000        0.650000        0.650000        2.720000        0.120000        0.120000        0.308095        0.052020        0.052020        4.839253   1.0 
"Kepler-87 c"      191.231796        6.400000        0.800000        0.800000        6.140000        0.290000        0.290000        0.027649        0.005224        0.005224        6.504597   0.0 
"Kepler-80 c"        9.523550        6.740000        1.230000        0.860000        2.740000        0.120000        0.100000        0.327649        0.069729        0.060008       28.138114   1.0 
"Kepler-80 d"        3.072220        6.750000        0.690000        0.510000        1.530000        0.090000        0.070000        1.884645        0.322535        0.361786      127.181430   1.0 
"Kepler-80 b"        7.052460        6.930000        1.050000        0.700000        2.670000        0.100000        0.100000        0.364082        0.068677        0.055009       41.999032   1.0 
"HD 219134 f"       22.716999        7.300000        0.400000        0.400000        1.310000        0.020000        0.020000        3.247200        0.231901        0.231901       12.438091   0.0 
"Kepler-11 d"       22.684500        7.300000        0.800000        1.500000        3.120000        0.060000        0.070000        0.240358        0.030912        0.051298       43.348989   1.0 
"Kepler-307 b"       10.420800        7.440000        0.910000        0.870000        2.430000        0.090000        0.090000        0.518506        0.085681        0.083638       59.703740   1.0 
"Kepler-36 c"       16.238550        8.080000        0.600000        0.460000        3.679000        0.054000        0.054000        0.162264        0.014008        0.011679      176.753312   1.0 
"55 Cnc e"        0.736539        8.080000        0.310000        0.310000        1.910000        0.080000        0.080000        1.159608        0.152351        0.152351     2417.192115   0.0 
"Kepler-20 b"        3.696115        9.700000        1.410000        1.440000        1.868000        0.066000        0.034000        1.488131        0.231074        0.271451      356.673635   0.0 
"Kepler-94 b"        2.508060       10.840000        1.400000        1.400000        3.510000        0.150000        0.150000        0.250673        0.045617        0.045617      238.925452   0.0 
"Kepler-30 b"       29.334339       11.300000        1.400000        1.400000        3.900000        0.200000        0.200000        0.190495        0.037629        0.037629       21.511716   1.0 
"Kepler-20 c"       10.854091       12.750000        2.170000        2.240000        3.047000        0.064000        0.056000        0.450705        0.080633        0.084122       84.815212   0.0 
"HD 219134 d"       46.859001       16.170000        0.640000        0.640000        1.610000        0.020000        0.020000        3.874649        0.210639        0.210639        4.736937   0.0 
"Kepler-18 d"       14.858880       16.400000        1.400000        1.400000        6.980000        0.330000        0.330000        0.048226        0.007983        0.007983       65.857975   1.0 
"Kepler-18 c"        7.641590       17.299999        1.900000        1.900000        5.490000        0.260000        0.260000        0.104551        0.018775        0.018775      159.837307   1.0 
"Kepler-10 c"       45.294300       17.200001        1.900000        1.900000        2.350000        0.090000        0.040000        1.325333        0.161288        0.211236       17.416778   1.0 
"GJ 436 b"        2.643883       22.100000        2.300000        2.300000        4.170000        0.168000        0.168000        0.304778        0.048611        0.048611        0.000000   0.0 
"HAT-P-11 b"        4.887816       25.743000        2.860000        2.860000        4.730000        0.157000        0.157000        0.243263        0.036293        0.036293       95.504786   0.0 
"Kepler-128 c"       22.804001       33.299999        3.300000        3.300000        1.130000        0.030000        0.030000       23.078571        2.934168        2.934168      123.050508   1.0 
"Kepler-35 b"      131.457993       40.362999        6.356000        6.356000        8.160000        0.157000        0.157000        0.074287        0.012459        0.012459        3.971717   1.0 
"WASP-127 b"        4.178062       57.209400        6.356600        6.356600       15.356000        0.448000        0.448000        0.015799        0.002235        0.002235      637.861845   0.0 
"HAT-P-18 b"        5.508023       62.610001        4.132000        4.132000       11.153000        0.583000        0.583000        0.045130        0.007678        0.007678       85.872131   0.0 
"HAT-P-12 b"        3.213060       67.058998        3.814000        3.814000       10.749000        0.325000        0.235000        0.053995        0.004687        0.005781      139.712396   0.0 
